Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Drut,Sitar,Drut teental,6|4,4,On,1,Gat,,,N,2416.129243,2416.096057,8.5,7,0.285271,0.206158,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|5,5,On,1,Gat,,,N,2416.372606,2416.341703,8.5,6,0.227589,0.146911,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|6,6,On,1,Gat,,,N,2416.597182,2416.602096,8.5,5.5,0.354734,0.029135,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|7,7,On,1,Gat,,,N,2416.842741,2416.83528,8.5,5,0.238781,0.038685,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|8,8,On,1,Gat,,,N,2417.051196,2417.083128,9,5,0.339851,0.154311,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|9,9,On,1,Gat,,,N,2417.333957,2417.317324,9,5,0.393208,0.214042,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|10,10,On,1,Gat,,,N,2417.539023,2417.558115,9,5,0.046484,0.029398,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|11,11,On,1,Gat,,,N,2417.760421,2417.806817,8.5,5,0.231803,0.042925,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|12,12,On,1,Gat,,,N,2418.008053,2418.052634,8.5,5,0.244516,0.169005,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|13,13,On,1,Gat,,,N,2418.304293,2418.270191,8.5,5.5,0.141667,0.070637,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|14,14,On,1,Gat,,,N,2418.504393,2418.491505,8,6,0.254084,0.031658,Anupama Bhagwat,Gurdain Rayatt,2K
